Country name,Happiness Score,Happiness Rank,Social support,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Year,CO2 Production,HDI
Italy,6.38740015,30.0,0.889878571,10.48183632,73.60168457,0.66465199,0.873404682,2020,5.02491109,0.889
Singapore,6.377099991,31.0,0.910268962,11.39552116,76.80458069,0.926645339,0.109784193,2020,7.777989731,0.939
Brazil,6.375599861,32.0,0.896723807,9.56643486,66.48016357,0.799804807,0.770601273,2020,2.198836949,0.758
Slovenia,6.363399982,33.0,0.939575672,10.39232254,71.1029892,0.936142623,0.817071021,2020,6.042989257,0.913
El Salvador,6.34829998,34.0,0.806092262,8.909075737,66.10826111,0.833805263,0.754319906,2020,0.944111387,0.672
Panama,6.304800034,36.0,0.902094483,10.03423405,69.60301208,0.880366504,0.851588905,2020,2.498280904,0.801
Slovakia,6.280600071,37.0,0.922493756,10.34774971,68.90634155,0.749952674,0.918096125,2020,5.628647446,0.857
Uzbekistan,6.257599831,38.0,0.926595807,8.740371704,65.10757446,0.974998116,0.501497388,2020,3.369793419,0.721
Chile,6.228499889,39.0,0.879713595,10.0320549,69.90061951,0.744896293,0.838239431,2020,4.24621503,0.852
Bahrain,6.227300167,40.0,0.876342118,10.67638016,68.5,0.905855775,0.7393471,2020,20.54572969,0.877
Lithuania,6.215499878,41.0,0.926107109,10.34362602,67.29407501,0.747381449,0.809583843,2020,5.069079734,0.879
Poland,6.186299801,43.0,0.874257445,10.26512432,69.31113434,0.862055779,0.686927021,2020,7.9159743,0.876
Colombia,6.163400173,44.0,0.884440243,9.500369072,67.69958496,0.836179912,0.86457181,2020,1.751176049,0.756
Cyprus,6.15899992,45.0,0.805996239,10.40570259,73.70222473,0.779858291,0.856271744,2020,5.380504059,0.894
Nicaragua,6.13710022,46.0,0.857497036,8.493160248,67.50717926,0.863902867,0.665950119,2020,0.76589307,0.654
Romania,6.123700142,47.0,0.825161517,10.107584,67.20723724,0.842823207,0.934300244,2020,3.715362722,0.824
Kuwait,6.102099895,48.0,0.846475244,11.08982468,66.76764679,0.872366488,0.760849059,2020,20.82510746,0.822
Mauritius,6.101299763,49.0,0.910357833,9.956786156,66.40434265,0.889534533,0.805343091,2020,3.129029823,0.804
Kazakhstan,6.057899952,50.0,0.934744895,10.11465836,64.60996246,0.811601937,0.764490843,2020,15.51581435,0.814
Estonia,6.021800041,51.0,0.934729993,10.34001732,68.60495758,0.87770915,0.623073816,2020,7.879475476,0.892
Philippines,6.006000042,52.0,0.846730053,8.993545532,61.92676163,0.915463448,0.733634114,2020,1.241254444,0.71
Hungary,6.000400066,53.0,0.921934128,10.24924374,67.60997009,0.718964577,0.892916501,2020,4.99728219,0.849
Thailand,5.998799801,54.0,0.889973223,9.741791725,67.25059509,0.905063033,0.886272311,2020,3.692920935,0.802
Argentina,5.974699974,55.0,0.900567949,9.810955048,68.80380249,0.831132412,0.842009842,2020,3.473291552,0.84
Honduras,5.953199863,56.0,0.821870148,8.424534798,67.19876862,0.870603263,0.801131904,2020,0.975263329,0.621
Latvia,5.949999809,57.0,0.918288589,10.17531967,66.8074646,0.671237648,0.795580089,2020,3.590715291,0.871
Ecuador,5.925199986,58.0,0.836418986,9.246058464,68.50003815,0.859828949,0.801215112,2020,1.753199871,0.731
Portugal,5.910900116,59.0,0.886590719,10.26374245,72.40202332,0.888747811,0.892629504,2020,3.960866197,0.863
Jamaica,5.889800072,60.0,0.915701866,9.006250381,67.09999847,0.858068526,0.888890028,2020,2.508977035,0.713
South Korea,5.872399807,61.0,0.799387157,10.51056671,73.6027298,0.612965107,0.789067447,2020,11.65622391,0.922
Japan,5.870800018,62.0,0.883545935,10.57968903,75.00096893,0.809961379,0.654558063,2020,8.149938667,0.923
Peru,5.796800137,63.0,0.831075251,9.456313133,68.10023499,0.824766099,0.893714964,2020,1.355886751,0.762
Serbia,5.77820015,64.0,0.881475747,9.680980682,68.21020508,0.726495862,0.843509018,2020,4.936885477,0.804
Bolivia,5.747499943,65.0,0.803108692,8.851115227,63.6004715,0.875873327,0.822606206,2020,1.773319863,0.694
Pakistan,5.69329977,66.0,0.689062297,8.482727051,58.25313568,0.734833717,0.745705426,2020,1.062756182,0.543
Paraguay,5.692100048,67.0,0.898727894,9.389982224,65.63993835,0.885923445,0.834788501,2020,1.061291226,0.73
Dominican Republic,5.689199924,68.0,0.882085383,9.664880753,65.80748749,0.866202772,0.755999923,2020,2.559875589,0.764
Bosnia and Herzegovina,5.674099922,69.0,0.829204142,9.455817223,67.80813599,0.651352704,0.933769107,2020,6.528247977,0.781
Moldova,5.607500076,70.0,0.843313575,8.776714325,65.01301575,0.721609175,0.913314283,2020,1.275891722,0.766
Tajikistan,5.555699825,71.0,0.835297108,8.024810791,64.10459137,0.831383407,0.592076063,2020,0.990569475,0.664
Montenegro,5.54610014,72.0,0.855314612,9.751860619,68.50534821,0.649565637,0.783121586,2020,3.677798193,0.826
Russia,5.546000004,73.0,0.903150737,10.12887192,64.10045624,0.729892612,0.864802599,2020,10.8071526,0.83
Kyrgyzstan,5.541500092,74.0,0.887228489,8.148405075,64.10601044,0.909374893,0.888396084,2020,1.763865121,0.689
Belarus,5.539899826,75.0,0.90674746,9.779945374,66.10433197,0.639163077,0.63571167,2020,6.07931383,0.807
Greece,5.514999866,77.0,0.814380348,10.13232613,72.40525818,0.541345119,0.859931409,2020,5.01149663,0.886
Croatia,5.504700184,79.0,0.874623716,10.07087517,70.21490479,0.714838803,0.916495264,2020,4.136637154,0.855
Libya,5.488800049,80.0,0.825942934,9.789815903,62.29999924,0.773157001,0.668779135,2020,7.381523009,0.703
Mongolia,5.456200123,81.0,0.937142491,9.412186623,62.30448532,0.693351328,0.863511205,2020,26.97802818,0.745
Malaysia,5.384300232,82.0,0.816509426,10.26251888,67.10215759,0.894626856,0.839302301,2020,8.422647483,0.806
Vietnam,5.353499889,83.0,0.849987149,8.809545517,67.9527359,0.939592957,0.79642123,2020,2.612563309,0.71
Indonesia,5.285600185,84.0,0.808379889,9.36975193,62.15584946,0.870614409,0.876296401,2020,2.155208427,0.709
Ivory Coast,5.233300209,85.0,0.658048689,8.225561142,49.50377274,0.727909327,0.790771961,2020,0.381780097,0.551
Benin,5.21600008,86.0,0.468671143,7.674319744,54.31246567,0.735182583,0.740532577,2020,0.552890326,0.524
Congo (Brazzaville),5.194399834,88.0,0.640228093,8.536987305,57.92448044,0.719058514,0.751779079,2020,0.564833429,0.574
Azerbaijan,5.164800167,89.0,0.819308281,9.687726974,65.50839996,0.786824107,0.55253756,2020,3.720272365,0.73
Ghana,5.147999763,91.0,0.728601098,8.350645065,57.20398712,0.794796526,0.847964764,2020,0.514959318,0.632
Nepal,5.137199879,92.0,0.785512447,7.925357342,63.77917862,0.797565043,0.738099158,2020,0.582002668,0.604
Turkey,5.131800175,93.0,0.826313555,10.12941933,66.90281677,0.608830452,0.748197377,2020,4.657320907,0.833
China,5.123899937,94.0,0.798760593,9.688568115,69.2891922,0.898517907,0.7539711,2020,7.411735759,0.764
Turkmenistan,5.119100094,95.0,0.958966196,9.74803257,62.21170807,0.826457024,0.883691847,2020,12.49132843,0.741
Bulgaria,5.101500034,96.0,0.937840343,9.869318962,66.80397797,0.745178163,0.935585141,2020,5.388845994,0.802
Morocco,5.094799995,97.0,0.592628479,8.940313339,65.89624023,0.772072434,0.815724611,2020,1.74845085,0.679
Cameroon,5.084899902,98.0,0.700386405,8.118647575,52.7049408,0.763051808,0.851336598,2020,0.259524431,0.578
Venezuela,5.053199768,99.0,0.890408158,8.977793694,66.50534058,0.62327832,0.837038398,2020,2.975442345,0.695
Algeria,5.005099773,100.0,0.803385139,9.537964821,65.90517426,0.466610909,0.735485137,2020,3.534590875,0.736
Senegal,4.980800152,101.0,0.723616004,8.118982315,59.59915161,0.690596163,0.808785141,2020,0.624178545,0.513
Guinea,4.949299812,102.0,0.637573481,7.750990391,54.46780014,0.706846774,0.761794448,2020,0.258436989,0.466
Niger,4.909599781,103.0,0.617435038,6.842166901,53.50009537,0.759772122,0.722530186,2020,0.069832068,0.401
Albania,4.882699966,105.0,0.671070457,9.417930603,68.70813751,0.781994224,0.896303713,2020,1.575753953,0.794
Cambodia,4.848400116,106.0,0.773080647,8.249890327,61.52996826,0.959704638,0.822769046,2020,0.916659614,0.596
Bangladesh,4.832799911,107.0,0.687292993,8.287063599,64.50306702,0.90062499,0.661843538,2020,0.563737615,0.655
Gabon,4.829299927,108.0,0.787886858,9.680537224,59.71533966,0.704829216,0.849150956,2020,1.931138222,0.71
South Africa,4.814099789,109.0,0.852532268,9.403370857,56.50601196,0.759330094,0.843423843,2020,7.620419537,0.727
Iraq,4.784800053,110.0,0.747694969,9.661095619,59.90354919,0.633182645,0.82226181,2020,5.241572172,0.679
Lebanon,4.771500111,111.0,0.824338138,9.3617239,67.10658264,0.551357508,0.90225625,2020,3.804777564,0.726
Burkina Faso,4.768700123,112.0,0.712943614,7.46854496,53.88945389,0.665563583,0.739795029,2020,0.189903275,0.449
Mali,4.729300022,114.0,0.731468976,7.629852295,51.72698212,0.71156615,0.839328408,2020,0.167400521,0.427
Nigeria,4.724100113,115.0,0.73721689,8.57662487,49.86190796,0.759578407,0.861874342,2020,0.608631271,0.535
Armenia,4.676799774,116.0,0.757479429,9.100476265,66.75065613,0.712017834,0.773544788,2020,1.987788379,0.757
Georgia,4.672599792,117.0,0.629033029,9.226100922,64.49520874,0.801641524,0.665944695,2020,2.498792354,0.802
Iran,4.672399998,118.0,0.694689691,9.813719749,66.00614929,0.647873282,0.714635968,2020,8.870210046,0.777
Jordan,4.633399963,119.0,0.80216372,9.025999069,66.79975128,0.75104779,0.700344324,2020,2.497997184,0.723
Kenya,4.583000183,121.0,0.702652037,8.02977562,60.09693146,0.829747558,0.831499159,2020,0.300273588,0.578
Ukraine,4.56069994,123.0,0.878879368,9.010690689,64.60678101,0.663081884,0.920636714,2020,4.891161661,0.775
Liberia,4.557899952,124.0,0.70928055,7.054380417,56.09631348,0.735268712,0.856375933,2020,0.199498545,0.48
Palestinian Territories,4.552800179,125.0,0.825295925,8.389223099,62.25,0.645791829,0.824199975,2020,0.568234611,0.716
Uganda,4.43200016,126.0,0.764994621,7.500389576,55.70820236,0.731713951,0.836737812,2020,0.106954357,0.524
Chad,4.422699928,127.0,0.632388055,7.467963696,48.22053909,0.587305248,0.802760839,2020,0.055540457,0.397
Tunisia,4.392199993,128.0,0.688718557,9.314972878,66.89785767,0.593361557,0.867590249,2020,2.379863502,0.737
Mauritania,4.374599934,129.0,0.790819228,8.233919144,57.01017761,0.551522553,0.746223509,2020,0.726332991,0.556
Sri Lanka,4.327000141,130.0,0.825374067,9.389969826,67.20006561,0.837633669,0.859001756,2020,0.985665463,0.78
Myanmar,4.308000088,133.0,0.78440702,8.680481911,58.96171188,0.895075202,0.645124316,2020,0.667627891,0.6
Togo,4.187200069,135.0,0.551312625,7.357711315,54.71989822,0.649828613,0.757733464,2020,0.264726786,0.535
Ethiopia,4.186200142,136.0,0.743307352,7.509385586,58.63959122,0.740795195,0.753690004,2020,0.127560389,0.498
Madagascar,4.165599823,137.0,0.668195903,7.281685829,59.10542679,0.557574093,0.817485631,2020,0.132880633,0.501
Egypt,4.151400089,138.0,0.735447824,9.316541672,61.78015137,0.708354175,0.787726879,2020,2.085874268,0.734
Sierra Leone,3.926399946,139.0,0.636142015,7.26880312,50.86514282,0.715315044,0.861330688,2020,0.109965133,0.475
Burundi,3.775300026,140.0,0.490325719,6.492642403,53.40000153,0.626350224,0.606934547,2020,0.050642582,0.426
Zambia,3.759399891,141.0,0.698824465,8.224720001,55.29937744,0.806500256,0.801289678,2020,0.3575346,0.57
Haiti,3.720799923,142.0,0.593247831,7.411329269,55.59862518,0.537825167,0.684767246,2020,0.256039713,0.54
India,3.573299885,144.0,0.592200935,8.849823952,60.21518707,0.881444871,0.772042692,2020,1.769409088,0.642
Malawi,3.538000107,145.0,0.544007301,7.062226295,57.59288788,0.803223193,0.731700778,2020,0.072922295,0.516
Yemen,3.527400017,146.0,0.817980587,7.759682655,56.72728348,0.599920273,0.800287724,2020,0.327509951,0.46
Botswana,3.478899956,147.0,0.779121757,9.711203575,58.92445374,0.821328104,0.777930915,2020,2.772080776,0.713
Tanzania,3.476200104,148.0,0.688933194,7.967665195,57.49607468,0.82153976,0.619799435,2020,0.183121172,0.548
Rwanda,3.312299967,150.0,0.54083544,7.600104332,61.09884644,0.900589406,0.183541179,2020,0.079731518,0.532
Zimbabwe,3.299200058,151.0,0.763092756,7.865711689,55.61725998,0.711457908,0.81023699,2020,0.708561788,0.6
Afghanistan,2.566900015,153.0,0.470366955,7.462860584,52.59000015,0.396573007,0.933686554,2020,0.312376488,0.483
Finland,7.842,1.0,0.954,10.775,72.0,0.949,0.186,2021,7.090703013,0.94
Denmark,7.62,2.0,0.954,10.933,72.7,0.946,0.179,2021,4.522442415,0.948
Switzerland,7.571,3.0,0.942,11.117,74.4,0.919,0.292,2021,3.731913422,0.962
Iceland,7.554,4.0,0.983,10.878,73.0,0.955,0.673,2021,8.603839493,0.959
Netherlands,7.464,5.0,0.942,10.932,72.4,0.913,0.338,2021,8.059593325,0.941
Norway,7.392,6.0,0.954,11.053,73.3,0.96,0.27,2021,7.615046075,0.961
Sweden,7.363,7.0,0.934,10.867,72.7,0.945,0.237,2021,3.825506114,0.947
Luxembourg,7.324,8.0,0.908,11.647,72.6,0.907,0.386,2021,13.05892539,0.93
New Zealand,7.277,9.0,0.948,10.643,73.4,0.929,0.242,2021,6.941846236,0.937
Austria,7.268,10.0,0.934,10.906,73.3,0.908,0.481,2021,6.732425105,0.916
Australia,7.183,11.0,0.94,10.796,73.9,0.914,0.442,2021,15.36837971,0.951
Israel,7.157,12.0,0.939,10.575,73.503,0.8,0.753,2021,6.510389017,0.919
Germany,7.155,13.0,0.903,10.873,72.5,0.875,0.46,2021,7.690141865,0.942
Canada,7.103,14.0,0.926,10.776,73.8,0.915,0.415,2021,14.19693746,0.936
Ireland,7.085,15.0,0.947,11.342,72.4,0.879,0.363,2021,6.753775883,0.945
Costa Rica,7.069,16.0,0.891,9.88,71.4,0.934,0.809,2021,1.552260862,0.809
United Kingdom,7.064,17.0,0.934,10.707,72.5,0.859,0.459,2021,4.854886819,0.929
Czech Republic,6.965,18.0,0.947,10.556,70.807,0.858,0.868,2021,8.215039321,0.889
United States,6.951,19.0,0.92,11.023,68.2,0.837,0.698,2021,14.23786361,0.921
Belgium,6.834,20.0,0.906,10.823,72.199,0.783,0.646,2021,7.226205719,0.937
France,6.69,21.0,0.942,10.704,74.0,0.822,0.571,2021,4.23807293,0.903
Bahrain,6.647,22.0,0.862,10.669,69.495,0.925,0.722,2021,20.54572969,0.875
Malta,6.602,23.0,0.931,10.674,72.2,0.927,0.653,2021,3.612105729,0.918
United Arab Emirates,6.561,25.0,0.844,11.085,67.333,0.932,0.589,2021,15.19333592,0.911
Saudi Arabia,6.494,26.0,0.891,10.743,66.603,0.877,0.684,2021,17.96720336,0.875
Spain,6.491,27.0,0.932,10.571,74.7,0.761,0.745,2021,4.468313378,0.905
Italy,6.483,28.0,0.88,10.623,73.8,0.693,0.866,2021,5.02491109,0.895
Slovenia,6.461,29.0,0.948,10.529,71.4,0.949,0.806,2021,6.042989257,0.918
Guatemala,6.435,30.0,0.813,9.053,64.958,0.906,0.775,2021,1.05706389,0.627
Uruguay,6.431,31.0,0.925,9.966,69.1,0.896,0.59,2021,1.681218748,0.809
Singapore,6.377,32.0,0.915,11.488,76.953,0.927,0.082,2021,7.777989731,0.939
Slovakia,6.331,34.0,0.936,10.369,69.201,0.766,0.911,2021,5.628647446,0.848
Brazil,6.33,35.0,0.882,9.577,66.601,0.804,0.756,2021,2.198836949,0.754
Mexico,6.317,36.0,0.831,9.859,68.597,0.862,0.799,2021,2.76863785,0.758
Jamaica,6.309,37.0,0.877,9.186,67.5,0.89,0.884,2021,2.508977035,0.709
Lithuania,6.255,38.0,0.935,10.499,67.906,0.773,0.826,2021,5.069079734,0.875
Cyprus,6.223,39.0,0.802,10.576,73.898,0.763,0.844,2021,5.380504059,0.896
Estonia,6.189,40.0,0.941,10.481,68.8,0.909,0.527,2021,7.879475476,0.89
Panama,6.18,41.0,0.896,10.35,69.652,0.872,0.856,2021,2.498280904,0.805
Uzbekistan,6.179,42.0,0.918,8.836,65.255,0.97,0.515,2021,3.369793419,0.727
Chile,6.172,43.0,0.882,10.071,70.0,0.742,0.83,2021,4.24621503,0.855
Poland,6.166,44.0,0.898,10.382,69.702,0.841,0.735,2021,7.9159743,0.876
Kazakhstan,6.152,45.0,0.952,10.155,65.2,0.853,0.733,2021,15.51581435,0.811
Romania,6.14,46.0,0.832,10.284,67.355,0.845,0.938,2021,3.715362722,0.821
Kuwait,6.106,47.0,0.843,10.817,66.9,0.867,0.736,2021,20.82510746,0.831
Serbia,6.078,48.0,0.873,9.787,68.6,0.778,0.835,2021,4.936885477,0.802
El Salvador,6.061,49.0,0.762,9.054,66.402,0.888,0.688,2021,0.944111387,0.675
Mauritius,6.049,50.0,0.905,10.008,66.701,0.867,0.789,2021,3.129029823,0.802
Latvia,6.032,51.0,0.927,10.315,67.1,0.715,0.8,2021,3.590715291,0.863
Colombia,6.012,52.0,0.847,9.557,68.001,0.837,0.841,2021,1.751176049,0.752
Hungary,5.992,53.0,0.943,10.358,68.0,0.755,0.876,2021,4.99728219,0.846
Thailand,5.985,54.0,0.888,9.805,67.401,0.884,0.895,2021,3.692920935,0.8
Nicaragua,5.972,55.0,0.864,8.62,67.657,0.836,0.664,2021,0.76589307,0.667
Japan,5.94,56.0,0.884,10.611,75.1,0.796,0.638,2021,8.149938667,0.925
Argentina,5.929,57.0,0.898,9.962,69.0,0.828,0.834,2021,3.473291552,0.842
Portugal,5.929,58.0,0.879,10.421,72.6,0.892,0.887,2021,3.960866197,0.866
Honduras,5.919,59.0,0.812,8.648,67.3,0.857,0.809,2021,0.975263329,0.621
Croatia,5.882,60.0,0.924,10.217,70.799,0.754,0.939,2021,4.136637154,0.858
Philippines,5.88,61.0,0.83,9.076,62.0,0.917,0.742,2021,1.241254444,0.699
South Korea,5.845,62.0,0.799,10.651,73.9,0.672,0.727,2021,11.65622391,0.925
Peru,5.84,63.0,0.832,9.458,68.25,0.822,0.891,2021,1.355886751,0.762
Bosnia and Herzegovina,5.813,64.0,0.87,9.59,68.098,0.706,0.931,2021,6.528247977,0.78
Moldova,5.766,65.0,0.857,9.454,65.699,0.822,0.918,2021,1.275891722,0.767
Ecuador,5.764,66.0,0.821,9.313,68.8,0.842,0.843,2021,1.753199871,0.74
Kyrgyzstan,5.744,67.0,0.893,8.538,64.401,0.935,0.908,2021,1.763865121,0.692
Greece,5.723,68.0,0.823,10.279,72.6,0.582,0.823,2021,5.01149663,0.887
Bolivia,5.716,69.0,0.81,9.046,63.901,0.875,0.839,2021,1.773319863,0.692
Mongolia,5.677,70.0,0.935,9.4,62.5,0.708,0.856,2021,26.97802818,0.739
Paraguay,5.653,71.0,0.893,9.448,65.9,0.876,0.882,2021,1.061291226,0.717
Montenegro,5.581,72.0,0.858,9.94,68.699,0.708,0.812,2021,3.677798193,0.832
Dominican Republic,5.545,73.0,0.853,9.802,66.102,0.86,0.714,2021,2.559875589,0.767
Belarus,5.534,75.0,0.91,9.853,66.253,0.65,0.627,2021,6.07931383,0.808
Russia,5.477,76.0,0.903,10.189,64.703,0.718,0.845,2021,10.8071526,0.822
Tajikistan,5.466,78.0,0.86,8.091,64.281,0.832,0.553,2021,0.990569475,0.685
Vietnam,5.411,79.0,0.85,8.973,68.034,0.94,0.796,2021,2.612563309,0.703
Libya,5.41,80.0,0.827,9.622,62.3,0.771,0.667,2021,7.381523009,0.718
Malaysia,5.384,81.0,0.817,10.238,67.102,0.895,0.839,2021,8.422647483,0.803
Indonesia,5.345,82.0,0.811,9.365,62.236,0.873,0.867,2021,2.155208427,0.705
Congo (Brazzaville),5.342,83.0,0.636,8.117,58.221,0.695,0.745,2021,0.564833429,0.571
China,5.339,84.0,0.811,9.673,69.593,0.904,0.755,2021,7.411735759,0.768
Ivory Coast,5.306,85.0,0.644,8.551,50.114,0.741,0.794,2021,0.381780097,0.55
Armenia,5.283,86.0,0.799,9.487,67.055,0.825,0.629,2021,1.987788379,0.759
Nepal,5.269,87.0,0.774,8.12,64.233,0.782,0.727,2021,0.582002668,0.602
Bulgaria,5.266,88.0,0.931,10.016,67.0,0.788,0.932,2021,5.388845994,0.795
Azerbaijan,5.171,90.0,0.836,9.569,65.656,0.814,0.506,2021,3.720272365,0.745
Cameroon,5.142,91.0,0.71,8.189,53.515,0.731,0.848,2021,0.259524431,0.576
Senegal,5.132,92.0,0.71,8.118,59.802,0.695,0.801,2021,0.624178545,0.511
Albania,5.117,93.0,0.697,9.52,68.999,0.785,0.901,2021,1.575753953,0.796
Ghana,5.088,95.0,0.727,8.58,57.586,0.807,0.848,2021,0.514959318,0.632
Niger,5.074,96.0,0.641,7.098,53.78,0.806,0.693,2021,0.069832068,0.4
Turkmenistan,5.066,97.0,0.983,9.629,62.409,0.877,0.888,2021,12.49132843,0.745
Benin,5.045,99.0,0.489,8.087,54.713,0.757,0.661,2021,0.552890326,0.525
Bangladesh,5.025,101.0,0.693,8.454,64.8,0.877,0.682,2021,0.563737615,0.661
Guinea,4.984,102.0,0.639,7.838,55.008,0.697,0.766,2021,0.258436989,0.465
South Africa,4.956,103.0,0.86,9.403,56.904,0.749,0.86,2021,7.620419537,0.713
Turkey,4.948,104.0,0.822,10.24,67.199,0.576,0.776,2021,4.657320907,0.838
Pakistan,4.934,105.0,0.651,8.458,58.709,0.726,0.787,2021,1.062756182,0.544
Morocco,4.918,106.0,0.56,8.903,66.208,0.774,0.801,2021,1.74845085,0.683
Venezuela,4.892,107.0,0.861,9.073,66.7,0.615,0.827,2021,2.975442345,0.691
Georgia,4.891,108.0,0.671,9.585,64.3,0.783,0.655,2021,2.498792354,0.802
Algeria,4.887,109.0,0.802,9.342,66.005,0.48,0.752,2021,3.534590875,0.745
Ukraine,4.875,110.0,0.888,9.436,64.902,0.724,0.924,2021,4.891161661,0.773
Iraq,4.854,111.0,0.746,9.24,60.583,0.63,0.875,2021,5.241572172,0.686
Gabon,4.852,112.0,0.776,9.603,59.962,0.731,0.84,2021,1.931138222,0.706
Burkina Faso,4.834,113.0,0.672,7.678,54.151,0.695,0.748,2021,0.189903275,0.449
Cambodia,4.83,114.0,0.765,8.36,62.0,0.959,0.843,2021,0.916659614,0.593
Nigeria,4.759,116.0,0.74,8.533,50.102,0.737,0.878,2021,0.608631271,0.535
Mali,4.723,117.0,0.724,7.744,51.969,0.697,0.827,2021,0.167400521,0.428
Iran,4.721,118.0,0.71,9.584,66.3,0.608,0.714,2021,8.870210046,0.774
Uganda,4.636,119.0,0.781,7.677,56.101,0.709,0.855,2021,0.106954357,0.525
Liberia,4.625,120.0,0.72,7.288,56.498,0.735,0.85,2021,0.199498545,0.481
Kenya,4.607,121.0,0.688,8.361,60.704,0.779,0.825,2021,0.300273588,0.575
Tunisia,4.596,122.0,0.691,9.266,67.201,0.656,0.87,2021,2.379863502,0.731
Lebanon,4.584,123.0,0.848,9.626,67.355,0.525,0.898,2021,3.804777564,0.706
Palestinian Territories,4.517,125.0,0.826,8.485,62.25,0.653,0.821,2021,0.568234611,0.715
Myanmar,4.426,126.0,0.779,8.541,59.302,0.876,0.66,2021,0.667627891,0.585
Jordan,4.395,127.0,0.767,9.182,67.0,0.755,0.705,2021,2.497997184,0.72
Chad,4.355,128.0,0.619,7.364,48.478,0.579,0.807,2021,0.055540457,0.394
Sri Lanka,4.325,129.0,0.827,9.47,67.299,0.841,0.863,2021,0.985665463,0.782
Egypt,4.283,132.0,0.75,9.367,61.998,0.749,0.795,2021,2.085874268,0.731
Ethiopia,4.275,133.0,0.764,7.694,59.0,0.752,0.761,2021,0.127560389,0.498
Mauritania,4.227,134.0,0.795,8.542,57.161,0.561,0.731,2021,0.726332991,0.556
Madagascar,4.208,135.0,0.686,7.396,59.305,0.552,0.803,2021,0.132880633,0.501
Togo,4.107,136.0,0.569,7.362,54.914,0.619,0.772,2021,0.264726786,0.539
Zambia,4.073,137.0,0.708,8.145,55.809,0.782,0.823,2021,0.3575346,0.565
Sierra Leone,3.849,138.0,0.63,7.434,51.651,0.717,0.866,2021,0.109965133,0.477
India,3.819,139.0,0.603,8.755,60.633,0.893,0.774,2021,1.769409088,0.633
Burundi,3.775,140.0,0.49,6.635,53.4,0.626,0.607,2021,0.050642582,0.426
Yemen,3.658,141.0,0.832,7.578,57.122,0.602,0.8,2021,0.327509951,0.455
Tanzania,3.623,142.0,0.702,7.876,57.999,0.833,0.577,2021,0.183121172,0.549
Haiti,3.615,143.0,0.54,7.477,55.7,0.593,0.721,2021,0.256039713,0.535
Malawi,3.6,144.0,0.537,6.958,57.948,0.78,0.729,2021,0.072922295,0.512
Botswana,3.467,146.0,0.784,9.782,59.269,0.824,0.801,2021,2.772080776,0.693
Rwanda,3.415,147.0,0.552,7.676,61.4,0.897,0.167,2021,0.079731518,0.534
Zimbabwe,3.145,148.0,0.75,7.943,56.201,0.677,0.821,2021,0.708561788,0.593
Afghanistan,2.523,149.0,0.463,7.695,52.493,0.382,0.924,2021,0.312376488,0.478
